date,TweetId,Tweet,created_at,location
2020-12-15  21:46,1338690093113077765,RT @angnickelodeon: twitter users with 150-350 followers are the backbone of society,2020-12-15 03:39:24,everywhere
2020-12-15  21:46,1338602685105377282,@yaryoush_ @BeshoyMaximus1 the way you both won 💙,2020-12-14 21:52:04,everywhere
2020-12-15  21:46,1337110460416536576,There’s more! We’ll also be testing sharing Tweets to IG Stories to a small % so keep an eye out,2020-12-10 19:02:30,everywhere
2020-12-15  21:46,1337095441968754690,"Oh snap! 👻

Sharing Tweets directly to your Snapchat Stories is now easier than ever. Rolling out today on iOS! https://t.co/0LIHQhmCKu",2020-12-10 18:02:50,everywhere
2020-12-15  21:46,1336350876051582978,@levantinepali a stamp of approval https://t.co/uQvb8sxjCw,2020-12-08 16:44:11,everywhere
2020-12-15  21:46,1334542969530183683,2020 in one word,2020-12-03 17:00:13,everywhere
2020-12-15  21:46,1334540220642041862,@Astro_AJC this is what cuffing season means to us,2020-12-03 16:49:17,everywhere
2020-12-15  21:46,1334540220591648770,@un3asyy 2 is also cute,2020-12-03 16:49:17,everywhere
2020-12-15  21:46,1333921747691769856,@DeePeeArts you're all amazing,2020-12-01 23:51:42,everywhere
2020-12-15  21:46,1329561340596391936,RT @shesooosaddity: if you had a twitter before 2020 rt this,2020-11-19 23:05:00,everywhere
2020-12-15  21:46,1329217044391342082,@CloudNaii 40404,2020-11-19 00:16:53,everywhere
2020-12-15  21:46,1329216472711827458,@issahairplug drink water replaced good morning,2020-11-19 00:14:37,everywhere
2020-12-15  21:46,1329107688916135936,@Ne_ThatGuy we're taking oomf to the Fleets,2020-11-18 17:02:21,everywhere
2020-12-15  21:46,1329104797727940612,"@_JusJust_ remember ""I dedicate my 500th Tweet to:____""",2020-11-18 16:50:52,everywhere
2020-12-15  21:46,1329104643062902788,@ambr_ncole they're tourists,2020-11-18 16:50:15,everywhere
2020-12-15  21:46,1329101613940797441,@PhallonXOXO proof you're doing it right 😌,2020-11-18 16:38:12,everywhere
2020-12-15  21:46,1328838299419627525,"some of you hating...

but we see you Fleeting 🧐",2020-11-17 23:11:53,everywhere
