date,TweetId,Tweet,created_at,location
date,TweetId,Tweet,created_at,location
2020-11-19  19:31,1329474353705136138,"RT @AgapeLoveAllDay: Why am I on fire this morning? I am tired of watching people suffer. Even if we can't ease physical pain, we can at le…",2020-11-19 17:19:21,A dock on a lake in Michigan.
2020-11-19  19:31,1329448623734738944,"@nyctaxicabtales
Couple From #Wisconsin Said: They Are #Republicans - Voted For @JoeBiden @KamalaHarris , Because… https://t.co/Xnnub2s88r",2020-11-19 15:37:06,New York City 
2020-11-19  19:31,1329443503374553089,"@KamalaHarris @JoeBiden 
I know #UniversalHealthcare is not something you think America wants. I am an RN watching,… https://t.co/Xqk55h2TQm",2020-11-19 15:16:45,Wakanda
2020-11-19  19:31,1329434910315175936,"Why am I on fire this morning? I am tired of watching people suffer. Even if we can't ease physical pain, we can at… https://t.co/UDXtmrSkf5",2020-11-19 14:42:36,Wakanda
2020-11-19  19:31,1329433754830565384,RT @AgapeLoveAllDay: I don't do what I do for praise or accolades. I don't tell my stories for those reasons. I do and say what I do becaus…,2020-11-19 14:38:01,"Cincinnati, Ohio"
2020-11-19  19:31,1329433466375692298,I don't do what I do for praise or accolades. I don't tell my stories for those reasons. I do and say what I do bec… https://t.co/lLxrQO51Dk,2020-11-19 14:36:52,Wakanda
2020-11-19  19:31,1329429029661892608,"RT @AgapeLoveAllDay: The point is, we need to be a less selfish, unified nation that provides #UniversalHealthcare to everyone. It's done e…",2020-11-19 14:19:14,probably lost & blaming my GPS
2020-11-19  19:31,1329424242576928768,"@axlsgirl13 This is what I see regularly as an oncology nurse, sis. It's heartbreaking. We need… https://t.co/kGCgMmyaMr",2020-11-19 14:00:13,Wakanda
2020-11-19  19:31,1329422168430694401,"RT @AgapeLoveAllDay: I want to speak to @JoeBiden and @KamalaHarris face to face about #UniversalHealthcare 
I want to take 2 docs and a nu…",2020-11-19 13:51:59,A dock on a lake in Michigan.
2020-11-19  19:31,1329417031079374848,"I want to speak to @JoeBiden and @KamalaHarris face to face about #UniversalHealthcare 
I want to take 2 docs and a… https://t.co/5TOiqxIMdj",2020-11-19 13:31:34,Wakanda
